Provider UKPRN	UCAS org code	Provider name	Provider short name	Guardian name	Russell Group filter	Country	Region
10007783	A20	The University of Aberdeen	Aberdeen	Aberdeen	Non-member	Scotland	SCOT
10007856	A40	Aberystwyth University	Aberystwyth	Aberystwyth	Non-member	Wales	WALE
10000291	A60	Anglia Ruskin University	Anglia Ruskin	Anglia Ruskin	Non-member	England	EAST
10000385	A66	The Arts University Bournemouth	Arts B'mouth		Non-member	England	SWES
10007857	B06	Bangor University	Bangor	Bangor	Non-member	Wales	WALE
10007850	B16	The University of Bath	Bath	Bath	Non-member	England	SWES
10000571	B20	Bath Spa University	Bath Spa	Bath Spa	Non-member	England	SWES
10007152	B22	University of Bedfordshire	Bedfordshire	Bedfordshire	Non-member	England	EAST
10007140	B25	Birmingham City University	B'ham City	Birmingham City	Non-member	England	WMID
10006840	B32	The University of Birmingham	Birmingham	Birmingham	Member	England	WMID
10000712	B35	University College Birmingham	UC Birmingham		Non-member	England	WMID
10007811	B38	Bishop Grosseteste University	Bishop G'teste		Non-member	England	EMID
10006841	B44	The University of Bolton	Bolton	Bolton	Non-member	England	NWES
10000824	B50	Bournemouth University	Bournemouth	Bournemouth	Non-member	England	SWES
10007785	B56	The University of Bradford	Bradford	Bradford	Non-member	England	YORH
10000886	B72	The University of Brighton	Brighton	Brighton	Non-member	England	SEAS
10007786	B78	The University of Bristol	Bristol	Bristol	Member	England	SWES
10000961	B84	Brunel University London	Brunel	Brunel	Non-member	England	LOND
10007787	B90	The University of Buckingham	Buckingham		Non-member	England	SEAS
10000975	B94	Buckinghamshire New University	Buck's New	Bucks New University	Non-member	England	SEAS
10007788	C05	The University of Cambridge	Cambridge	Cambridge	Member	England	EAST
10001143	C10	Canterbury Christ Church University	Canterbury	Canterbury Christ Church	Non-member	England	SEAS
10007814	C15	Cardiff University	Cardiff	Cardiff	Member	Wales	WALE
10007854	C20	Cardiff Metropolitan University	Cardiff Met	Cardiff Met	Non-member	Wales	WALE
10007141	C30	The University of Central Lancashire	Central Lancs	Central Lancashire	Non-member	England	NWES
10007816	C35	The Royal Central School of Speech and Drama	Speech & Drama		Non-member	England	LOND
10007848	C55	University of Chester	Chester	Chester	Non-member	England	NWES
10007137	C58	The University of Chichester	Chichester	Chichester	Non-member	England	SEAS
10001478	C60	"City, University of London"	City University	City	Non-member	England	LOND
10007761	C80	Courtauld Institute of Art	Courtauld		Non-member	England	LOND
10001726	C85	Coventry University	Coventry	Coventry	Non-member	England	WMID
10006427	C93	University for the Creative Arts	Creative Arts	University for the Creative Arts	Non-member	England	SEAS
10007842	C99	University of Cumbria	Cumbria	Cumbria	Non-member	England	NWES
10001883	D26	De Montfort University	De Montfort	De Montfort	Non-member	England	EMID
10007851	D39	University of Derby	Derby	Derby	Non-member	England	EMID
10007852	D65	The University of Dundee	Dundee	Dundee	Non-member	Scotland	SCOT
10007143	D86	University of Durham	Durham	Durham	Member	England	NEAS
10007789	E14	The University of East Anglia	East Anglia	UEA	Non-member	England	EAST
10007144	E28	The University of East London	East London	East London	Non-member	England	LOND
10007823	E42	Edge Hill University	Edge Hill	Edge Hill	Non-member	England	NWES
10007790	E56	The University of Edinburgh	Edinburgh	Edinburgh	Member	Scotland	SCOT
10007772	E59	Edinburgh Napier University	Napier	Edinburgh Napier	Non-member	Scotland	SCOT
10007791	E70	The University of Essex	Essex	Essex	Non-member	England	EAST
10007792	E84	The University of Exeter	Exeter	Exeter	Member	England	SWES
10008640	F33	Falmouth University	Falmouth	Falmouth	Non-member	England	SWES
10007794	G28	The University of Glasgow	Glasgow	Glasgow	Member	Scotland	SCOT
10007762	G42	Glasgow Caledonian University	Glasgow Cal	Glasgow Caledonian	Non-member	Scotland	SCOT
10007145	G50	University of Gloucestershire	Gloucestershire	Gloucestershire	Non-member	England	SWES
10007146	G70	The University of Greenwich	Greenwich	Greenwich	Non-member	England	LOND
10002901	H12	Harper Adams University	Harper Adams		Non-member	England	WMID
10040812	H12	Harper Adams University	Harper Adams		Non-member	England	WMID
10007764	H24	Heriot-Watt University	Heriot-Watt	Heriot-Watt	Non-member	Scotland	SCOT
10007147	H36	University of Hertfordshire	Hertfordshire	Hertfordshire	Non-member	England	EAST
10007114	H49	University of the Highlands and Islands	Highlands		Non-member	Scotland	SCOT
10007148	H60	The University of Huddersfield	Huddersfield	Huddersfield	Non-member	England	YORH
10007149	H72	The University of Hull	Hull	Hull	Non-member	England	YORH
10007767	K12	Keele University	Keele	Keele	Non-member	England	WMID
10007150	K24	The University of Kent	Kent	Kent	Non-member	England	SEAS
10003678	K84	Kingston University	Kingston	Kingston	Non-member	England	LOND
10007768	L14	The University of Lancaster	Lancaster	Lancaster	Non-member	England	NWES
10007795	L23	The University of Leeds	Leeds	Leeds	Member	England	YORH
10003863	L24	Leeds Trinity University	Leeds Trinity	Leeds Trinity	Non-member	England	YORH
10003861	L27	Leeds Beckett University	Leeds Beckett	Leeds Beckett	Non-member	England	YORH
10003854	L28	Leeds College of Art	Leeds Art		Non-member	England	YORH
10007796	L34	The University of Leicester	Leicester	Leicester	Non-member	England	EMID
10007151	L39	The University of Lincoln	Lincoln	Lincoln	Non-member	England	EMID
10006842	L41	The University of Liverpool	Liverpool	Liverpool	Member	England	NWES
10003956	L46	Liverpool Hope University	Liverpool Hope	Liverpool Hope	Non-member	England	NWES
10003945	L48	The Liverpool Institute for Performing Arts	Liver Perf Arts		Non-member	England	NWES
10003957	L51	Liverpool John Moores University	John Moores	Liverpool John Moores	Non-member	England	NWES
10004048	L68	London Metropolitan University	London Met	London Met	Non-member	England	LOND
10004063	L72	London School of Economics and Political Science	LSE	London School of Economics	Member	England	LOND
10004078	L75	London South Bank University	South Bank	London South Bank	Non-member	England	LOND
10004113	L79	Loughborough University	Loughborough	Loughborough	Non-member	England	EMID
10007798	M20	The University of Manchester	Manchester	Manchester	Member	England	NWES
10004180	M40	The Manchester Metropolitan University	Manchester Met	Manchester Met	Non-member	England	NWES
10004351	M80	Middlesex University	Middlesex	Middlesex	Non-member	England	LOND
10007799	N21	Newcastle University	Newcastle	Newcastle	Member	England	NEAS
10007138	N38	The University of Northampton	Northampton	Northampton	Non-member	England	EMID
10004775	N39	Norwich University of the Arts	Norwich Arts		Non-member	England	EAST
10004797	N91	The Nottingham Trent University	N'ham Trent	Nottingham Trent	Non-member	England	EMID
10004930	O66	Oxford Brookes University	Oxford Brookes	Oxford Brookes	Non-member	England	SEAS
10007801	P60	University of Plymouth	Plymouth	Plymouth	Non-member	England	SWES
10005127	P65	Plymouth College of Art	Plymouth Art		Non-member	England	SWES
10007155	P80	The University of Portsmouth	Portsmouth	Portsmouth	Non-member	England	SEAS
10005337	Q25	"Queen Margaret University, Edinburgh"	Queen Margaret	Queen Margaret	Non-member	Scotland	SCOT
10007775	Q50	Queen Mary University of London	Queen Mary	Queen Mary	Member	England	LOND
10005389	R06	Ravensbourne	Ravensbourne		Non-member	England	LOND
10007802	R12	The University of Reading	Reading	Reading	Non-member	England	SEAS
10005500	R36	The Robert Gordon University	Robert Gordon	Robert Gordon	Non-member	Scotland	SCOT
10007776	R48	Roehampton University	Roehampton	Roehampton	Non-member	England	LOND
10005523	R51	Rose Bruford College	Rose Bruford		Non-member	England	LOND
10005545	R54	Royal Agricultural University	Royal Agr Coll		Non-member	England	SWES
10007156	S03	The University of Salford	Salford	Salford	Non-member	England	NWES
10007157	S18	The University of Sheffield	Sheffield	Sheffield	Member	England	YORH
10005790	S21	Sheffield Hallam University	Sheffield Hallam	Sheffield Hallam	Non-member	England	YORH
10007158	S27	The University of Southampton	Southampton	Southampton	Member	England	SEAS
10006022	S30	Southampton Solent University	Solent	Southampton Solent	Non-member	England	SEAS
10007803	S36	The University of St Andrews	St Andrews	St Andrews	Non-member	Scotland	SCOT
10007782	S49	"St George's, University of London"	St George's		Non-member	England	LOND
10007843	S64	"St Mary's University, Twickenham"	St Mary Tw'ham	"St Mary's, Twickenham"	Non-member	England	LOND
10006299	S72	Staffordshire University	Staffordshire	Staffordshire	Non-member	England	WMID
10007804	S75	The University of Stirling	Stirling	Stirling	Non-member	Scotland	SCOT
10007805	S78	The University of Strathclyde	Strathclyde	Strathclyde	Non-member	Scotland	SCOT
10014001	S82	University of Suffolk	Suffolk	Suffolk	Non-member	England	EAST
10007159	S84	The University of Sunderland	Sunderland	Sunderland	Non-member	England	NEAS
10007160	S85	The University of Surrey	Surrey	Surrey	Non-member	England	SEAS
10007806	S90	The University of Sussex	Sussex	Sussex	Non-member	England	SEAS
10007855	S93	Swansea University	Swansea	Swansea	Non-member	Wales	WALE
10007161	T20	Teesside University	Teesside	Teesside	Non-member	England	NEAS
10007858	T80	University of Wales Trinity Saint David	Trinity St David	Trinity Saint David	Non-member	Wales	WALE
10007807	U20	University of Ulster	Ulster	Ulster	Non-member	Northern Ireland	NIRE
10007800	U40	The University of the West of Scotland	West Scotland	West of Scotland	Non-member	Scotland	SCOT
10007793	W01	University of South Wales	South Wales	South Wales	Non-member	Wales	WALE
10006566	W05	The University of West London	West London	West London	Non-member	England	LOND
10007163	W20	The University of Warwick	Warwick	Warwick	Member	England	WMID
10007166	W75	The University of Wolverhampton	Wolverhampton		Non-member	England	WMID
10003614	W76	The University of Winchester	Winchester	Winchester	Non-member	England	SEAS
10007139	W80	University of Worcester	Worcester	Worcester	Non-member	England	WMID
10007657	W85	Writtle University College	Writtle		Non-member	England	EAST
10007167	Y50	The University of York	York	York	Member	England	YORH
10007713	Y75	York St John University	York St John	York St John	Non-member	England	YORH
10001282	N77	University of Northumbria at Newcastle	Northumbria	Northumbria	Non-member	England	NEAS
10001653		Conservatoire for Dance and Drama	Dance & Drama		Non-member	England	LOND
10001856		Dartington College of Arts	Dartington		Non-member	England	
10002681	G43	Glasgow School of Art	Glasgow Art		Non-member	Scotland	SCOT
10002718	G56	Goldsmiths College	Goldsmiths	Goldsmiths	Non-member	England	LOND
10003270	I50	"Imperial College of Science, Technology and Medicine"	Imperial	Imperial College	Member	England	LOND
10003324		The Institute of Cancer Research	ICR		Non-member	England	LOND
10003645	K60	King's College London	King's College	King's College London	Member	England	LOND
10003856	L30	Leeds College of Music	Leeds Music		Non-member	England	YORH
10003958		Liverpool School of Tropical Medicine	Liver Trop Med		Non-member	England	NWES
10004206	P63	University of St Mark and St John	Marjon		Non-member	England	
10004511		The National Film and Television School	National Film		Non-member	England	SEAS
10005343	Q75	The Queen's University of Belfast	Queen's Belfast	"Queen's, Belfast"	Member	Northern Ireland	NIRE
10005553	R72	Royal Holloway and Bedford New College	Royal Holloway	Royal Holloway	Non-member	England	SEAS
10005561		Royal Conservatoire of Scotland	Royal Scot Acad		Non-member	Scotland	SCOT
10005700	S01	SRUC	SRUC		Non-member	Scotland	SCOT
10007048		Trinity University College	Trinity UC		Non-member	Wales	
10007154	N84	The University of Nottingham	Nottingham	Nottingham	Member	England	EMID
10007162	U65	"University of the Arts, London"	Arts London	University of the Arts London	Non-member	England	LOND
10007164	B80	"University of the West of England, Bristol"	UWE	UWE Bristol	Non-member	England	SWES
10007165	W50	The University of Westminster	Westminster	Westminster	Non-member	England	LOND
10007759	A80	Aston University	Aston	Aston	Non-member	England	WMID
10007760	B24	Birkbeck College	Birkbeck	Birkbeck	Non-member	England	LOND
10007765		Heythrop College	Heythrop		Non-member	England	LOND
10007766		Institute of Education	Inst Education		Non-member	England	LOND
10007769		London Business School	L'don Business		Non-member	England	LOND
10007771		London School of Hygiene and Tropical Medicine	Sch of Hygiene		Non-member	England	LOND
10007773		The Open University	Open		Non-member	England	SEAS
10007774	O33	The University of Oxford	Oxford	Oxford	Member	England	SEAS
10007777		Royal College of Art	Royal Coll Art		Non-member	England	LOND
10007778		Royal College of Music	Royal Coll Mus		Non-member	England	LOND
10007779	R84	The Royal Veterinary College	Royal Vet Coll		Non-member	England	LOND
10007780	S09	The School of Oriental and African Studies	SOAS	SOAS	Non-member	England	LOND
10007781		The School of Pharmacy	Sch Pharmacy		Non-member	England	
10007784	U80	University College London	UCL	UCL	Member	England	LOND
10007797		University of London (Institutes and activities)	Uni of London		Non-member	England	LOND
10007822		Cranfield University	Cranfield		Non-member	England	EAST
10007824		Edinburgh College of Art	Edinburgh Art		Non-member	Scotland	SCOT
10007825		Guildhall School of Music and Drama	Guildhall		Non-member	England	LOND
10007832	N36	Newman University	Newman	Newman	Non-member	England	WMID
10007833	G53	Glynd?r University	Glynd?r	Glynd?r	Non-member	Wales	WALE
10007835		Royal Academy of Music	Royal Ac Music		Non-member	England	LOND
10007837		Royal Northern College of Music	RNCM		Non-member	England	NWES
10007846		Swansea Metropolitan University	Swansea Met		Non-member	Wales	WALE
10007849	A30	University of Abertay Dundee	Abertay	Abertay Dundee	Non-member	Scotland	SCOT
10007853		"The University of Wales, Newport"	Newport		Non-member	Wales	WALE
10008010	S79	Stranmillis University College	Stranmillis		Non-member	Northern Ireland	NIRE
10008017		Trinity Laban Conservatoire of Music and Dance	Trinity Laban		Non-member	England	LOND
10008026		St Mary's University College	St Mary Belfast		Non-member	Northern Ireland	NIRE
10008574		The University of Wales (central functions)	Uni of Wales		Non-member	Wales	WALE
10037449	P63	University of St Mark and St John	Marjon		Non-member	England	SWES
